Frequency_Hz,PSD
-10000000,1.61778123e-08
-9995117.188,1.609804914e-08
-9990234.375,1.528425479e-08
-9985351.562,1.513545064e-08
-9980468.75,1.522419402e-08
-9975585.938,1.568521524e-08
-9970703.125,1.568333027e-08
-9965820.312,1.554079825e-08
-9960937.5,1.521911586e-08
-9956054.688,1.517756677e-08
-9951171.875,1.532199241e-08
-9946289.062,1.542236306e-08
-9941406.25,1.559319232e-08
-9936523.438,1.569956415e-08
-9931640.625,1.565896469e-08
-9926757.812,1.563721185e-08
-9921875,1.548926179e-08
-9916992.188,1.546269271e-08
-9912109.375,1.556567897e-08
-9907226.562,1.647104876e-08
-9902343.75,1.800242267e-08
-9897460.938,1.832290544e-08
-9892578.125,1.877971669e-08
-9887695.312,1.98826e-08
-9882812.5,2.147655908e-08
-9877929.688,2.263137277e-08
-9873046.875,2.341884452e-08
-9868164.062,2.278849622e-08
-9863281.25,2.198719935e-08
-9858398.438,1.999537982e-08
-9853515.625,1.829510272e-08
-9848632.812,1.697771983e-08
-9843750,1.641238404e-08
-9838867.188,1.585994466e-08
-9833984.375,1.558266778e-08
-9829101.562,1.59206001e-08
-9824218.75,1.54713112e-08
-9819335.938,1.536647269e-08
-9814453.125,1.541717027e-08
-9809570.312,1.586097487e-08
-9804687.5,1.613242716e-08
-9799804.688,1.597102501e-08
-9794921.875,1.58214381e-08
-9790039.062,1.597558657e-08
-9785156.25,1.562692392e-08
-9780273.438,1.543818318e-08
-9775390.625,1.5219103e-08
-9770507.812,1.51693065e-08
-9765625,1.56981583e-08
-9760742.188,1.570331605e-08
-9755859.375,1.557864729e-08
-9750976.562,1.556584468e-08
-9746093.75,1.566677704e-08
-9741210.938,1.529599923e-08
-9736328.125,1.536582217e-08
-9731445.312,1.56280444e-08
-9726562.5,1.578188204e-08
-9721679.688,1.577330366e-08
-9716796.875,1.566261063e-08
-9711914.062,1.614966296e-08
-9707031.25,1.597092045e-08
-9702148.438,1.566941837e-08
-9697265.625,1.574446539e-08
-9692382.812,1.54778221e-08
-9687500,1.557491979e-08
-9682617.188,1.548184375e-08
-9677734.375,1.55286569e-08
-9672851.562,1.577401738e-08
-9667968.75,1.581957473e-08
-9663085.938,1.566945639e-08
-9658203.125,1.576009251e-08
-9653320.312,1.578173367e-08
-9648437.5,1.557326026e-08
-9643554.688,1.567412904e-08
-9638671.875,1.591886182e-08
-9633789.062,1.571023746e-08
-9628906.25,1.545225693e-08
-9624023.438,1.514428514e-08
-9619140.625,1.521462257e-08
-9614257.812,1.59330322e-08
-9609375,1.597636729e-08
-9604492.188,1.567384687e-08
-9599609.375,1.515643562e-08
-9594726.562,1.538780258e-08
-9589843.75,1.55793763e-08
-9584960.938,1.551094072e-08
-9580078.125,1.558206526e-08
-9575195.312,1.557551241e-08
-9570312.5,1.546604016e-08
-9565429.688,1.543756346e-08
-9560546.875,1.568228962e-08
-9555664.062,1.584321859e-08
-9550781.25,1.545239269e-08
-9545898.438,1.494846572e-08
-9541015.625,1.526559016e-08
-9536132.812,1.564761809e-08
-9531250,1.537725836e-08
-9526367.188,1.517770213e-08
-9521484.375,1.543639171e-08
-9516601.562,1.56632638e-08
-9511718.75,1.554781476e-08
-9506835.938,1.549285562e-08
-9501953.125,1.521976602e-08
-9497070.312,1.510498298e-08
-9492187.5,1.512390387e-08
-9487304.688,1.520129521e-08
-9482421.875,1.494357554e-08
-9477539.062,1.507338613e-08
-9472656.25,1.521870848e-08
-9467773.438,1.529631812e-08
-9462890.625,1.555267429e-08
-9458007.812,1.542004661e-08
-9453125,1.552966596e-08
-9448242.188,1.532045624e-08
-9443359.375,1.533191959e-08
-9438476.562,1.541444212e-08
-9433593.75,1.536392988e-08
-9428710.938,1.541148672e-08
-9423828.125,1.541863509e-08
-9418945.312,1.551302289e-08
-9414062.5,1.567122597e-08
-9409179.688,1.526539383e-08
-9404296.875,1.529347261e-08
-9399414.062,1.53138106e-08
-9394531.25,1.517549693e-08
-9389648.438,1.553928948e-08
-9384765.625,1.690071687e-08
-9379882.812,1.990223214e-08
-9375000,2.363278067e-08
-9370117.188,2.480483137e-08
-9365234.375,2.206838305e-08
-9360351.562,1.867740239e-08
-9355468.75,1.67192422e-08
-9350585.938,1.587218981e-08
-9345703.125,1.565340912e-08
-9340820.312,1.565855469e-08
-9335937.5,1.550662683e-08
-9331054.688,1.538027751e-08
-9326171.875,1.574797922e-08
-9321289.062,1.597234685e-08
-9316406.25,1.570486414e-08
-9311523.438,1.562688448e-08
-9306640.625,1.550264743e-08
-9301757.812,1.532463617e-08
-9296875,1.4949618e-08
-9291992.188,1.52824547e-08
-9287109.375,1.539955524e-08
-9282226.562,1.526866752e-08
-9277343.75,1.50502105e-08
-9272460.938,1.529360102e-08
-9267578.125,1.525054885e-08
-9262695.312,1.570240135e-08
-9257812.5,1.561938683e-08
-9252929.688,1.50303993e-08
-9248046.875,1.466964203e-08
-9243164.062,1.500241518e-08
-9238281.25,1.499705826e-08
-9233398.438,1.52443509e-08
-9228515.625,1.521410732e-08
-9223632.812,1.537076771e-08
-9218750,1.523136581e-08
-9213867.188,1.509593143e-08
-9208984.375,1.498798451e-08
-9204101.562,1.489222004e-08
-9199218.75,1.489251683e-08
-9194335.938,1.510220388e-08
-9189453.125,1.524971426e-08
-9184570.312,1.527349514e-08
-9179687.5,1.518253871e-08
-9174804.688,1.490941621e-08
-9169921.875,1.514409412e-08
-9165039.062,1.541220912e-08
-9160156.25,1.53557238e-08
-9155273.438,1.521955693e-08
-9150390.625,1.49777815e-08
-9145507.812,1.503367458e-08
-9140625,1.506825734e-08
-9135742.188,1.489799807e-08
-9130859.375,1.5164997e-08
-9125976.562,1.511684127e-08
-9121093.75,1.497368295e-08
-9116210.938,1.506661612e-08
-9111328.125,1.475849439e-08
-9106445.312,1.472675374e-08
-9101562.5,1.493910705e-08
-9096679.688,1.542482131e-08
-9091796.875,1.548172751e-08
-9086914.062,1.513469618e-08
-9082031.25,1.499664372e-08
-9077148.438,1.482283519e-08
-9072265.625,1.533062538e-08
-9067382.812,1.53140488e-08
-9062500,1.504914736e-08
-9057617.188,1.463963773e-08
-9052734.375,1.479268726e-08
-9047851.562,1.482861079e-08
-9042968.75,1.491138698e-08
-9038085.938,1.512350403e-08
-9033203.125,1.542761047e-08
-9028320.312,1.54519161e-08
-9023437.5,1.505001488e-08
-9018554.688,1.493766113e-08
-9013671.875,1.485329622e-08
-9008789.062,1.497738945e-08
-9003906.25,1.474987017e-08
-8999023.438,1.523851546e-08
-8994140.625,1.49047148e-08
-8989257.812,1.50560054e-08
-8984375,1.539877602e-08
-8979492.188,1.510971137e-08
-8974609.375,1.494389142e-08
-8969726.562,1.486932869e-08
-8964843.75,1.491876653e-08
-8959960.938,1.501944261e-08
-8955078.125,1.527976232e-08
-8950195.312,1.499205409e-08
-8945312.5,1.500200716e-08
-8940429.688,1.487095814e-08
-8935546.875,1.505546561e-08
-8930664.062,1.489469744e-08
-8925781.25,1.465459997e-08
-8920898.438,1.4810132e-08
-8916015.625,1.497209073e-08
-8911132.812,1.475798423e-08
-8906250,1.489945676e-08
-8901367.188,1.523643442e-08
-8896484.375,1.493210901e-08
-8891601.562,1.503757643e-08
-8886718.75,1.516675471e-08
-8881835.938,1.511329012e-08
-8876953.125,1.503864316e-08
-8872070.312,1.518422689e-08
-8867187.5,1.517407596e-08
-8862304.688,1.533269321e-08
-8857421.875,1.521467722e-08
-8852539.062,1.482357825e-08
-8847656.25,1.488165339e-08
-8842773.438,1.465284185e-08
-8837890.625,1.516917099e-08
-8833007.812,1.513250015e-08
-8828125,1.496849688e-08
-8823242.188,1.467179253e-08
-8818359.375,1.487179778e-08
-8813476.562,1.494718633e-08
-8808593.75,1.497700658e-08
-8803710.938,1.470026671e-08
-8798828.125,1.487313955e-08
-8793945.312,1.480722579e-08
-8789062.5,1.473011546e-08
-8784179.688,1.482064134e-08
-8779296.875,1.470876413e-08
-8774414.062,1.474267071e-08
-8769531.25,1.479528923e-08
-8764648.438,1.44155921e-08
-8759765.625,1.462397863e-08
-8754882.812,1.476830155e-08
-8750000,1.467838426e-08
-8745117.188,1.501744133e-08
-8740234.375,1.507648147e-08
-8735351.562,1.476708519e-08
-8730468.75,1.456350494e-08
-8725585.938,1.475114483e-08
-8720703.125,1.487536547e-08
-8715820.312,1.477130179e-08
-8710937.5,1.469623225e-08
-8706054.688,1.493052115e-08
-8701171.875,1.494708028e-08
-8696289.062,1.555969041e-08
-8691406.25,1.7436409e-08
-8686523.438,1.99724899e-08
-8681640.625,2.059214603e-08
-8676757.812,1.8146235e-08
-8671875,1.579833494e-08
-8666992.188,1.511322238e-08
-8662109.375,1.503611892e-08
-8657226.562,1.45638366e-08
-8652343.75,1.475262621e-08
-8647460.938,1.480468915e-08
-8642578.125,1.500169304e-08
-8637695.312,1.519192357e-08
-8632812.5,1.496719816e-08
-8627929.688,1.497809802e-08
-8623046.875,1.481069164e-08
-8618164.062,1.457570963e-08
-8613281.25,1.478491187e-08
-8608398.438,1.465336316e-08
-8603515.625,1.488185996e-08
-8598632.812,1.461594249e-08
-8593750,1.482182725e-08
-8588867.188,1.472715721e-08
