Frequency_Hz,PSD
88000000,1.598212126e-06
88003417.97,3.075776926e-07
88006835.94,3.445835949e-08
88010253.91,3.396846675e-08
88013671.88,3.412356429e-08
88017089.84,3.305898211e-08
88020507.81,3.309487912e-08
88023925.78,3.281216373e-08
88027343.75,3.23968391e-08
88030761.72,3.3196266e-08
88034179.69,3.285924037e-08
88037597.66,3.203131701e-08
88041015.62,3.280192983e-08
88044433.59,3.352587161e-08
88047851.56,3.39485447e-08
88051269.53,3.364291818e-08
88054687.5,3.518979399e-08
88058105.47,3.641731874e-08
88061523.44,3.461147593e-08
88064941.41,3.230356216e-08
88068359.38,3.25527331e-08
88071777.34,3.280522781e-08
88075195.31,3.27832319e-08
88078613.28,3.382164447e-08
88082031.25,3.362487778e-08
88085449.22,3.262224182e-08
88088867.19,3.272414698e-08
88092285.16,3.282577868e-08
88095703.12,3.320716998e-08
88099121.09,3.336449375e-08
88102539.06,3.435303426e-08
88105957.03,3.290121922e-08
88109375,3.393029265e-08
88112792.97,3.582471965e-08
88116210.94,3.552368282e-08
88119628.91,3.312428222e-08
88123046.88,3.239811762e-08
88126464.84,3.270151314e-08
88129882.81,3.207902859e-08
88133300.78,3.319369412e-08
88136718.75,3.363066428e-08
88140136.72,3.324917336e-08
88143554.69,3.357053293e-08
88146972.66,3.311535231e-08
88150390.62,3.258634866e-08
88153808.59,3.235494712e-08
88157226.56,3.968159609e-08
88160644.53,3.799480753e-08
88164062.5,3.399676816e-08
88167480.47,3.538509568e-08
88170898.44,3.517822263e-08
88174316.41,3.342243727e-08
88177734.38,3.222919359e-08
88181152.34,3.255981307e-08
88184570.31,3.334830506e-08
88187988.28,3.320307287e-08
88191406.25,3.372937901e-08
88194824.22,3.266630925e-08
88198242.19,3.259702122e-08
88201660.16,3.287086476e-08
88205078.12,3.213122098e-08
88208496.09,3.257969723e-08
88211914.06,3.206039698e-08
88215332.03,3.26995148e-08
88218750,3.271113844e-08
88222167.97,3.42531903e-08
88225585.94,3.729167168e-08
88229003.91,3.513899333e-08
88232421.88,3.412460431e-08
88235839.84,3.231725911e-08
88239257.81,3.23782173e-08
88242675.78,3.277015582e-08
88246093.75,3.403549069e-08
88249511.72,3.405759133e-08
88252929.69,3.317125325e-08
88256347.66,3.438443886e-08
88259765.62,3.353282416e-08
88263183.59,3.30419004e-08
88266601.56,3.438527044e-08
88270019.53,3.471481238e-08
88273437.5,3.346184142e-08
88276855.47,3.346521384e-08
88280273.44,3.531390813e-08
88283691.41,3.553277121e-08
88287109.38,3.33093732e-08
88290527.34,3.327904602e-08
88293945.31,3.343689125e-08
88297363.28,3.270171546e-08
88300781.25,3.289193453e-08
88304199.22,3.422993171e-08
88307617.19,3.332876138e-08
88311035.16,3.435309445e-08
88314453.12,3.356402803e-08
88317871.09,3.302747147e-08
88321289.06,3.217857567e-08
88324707.03,3.269495058e-08
88328125,3.265698769e-08
88331542.97,3.26185977e-08
88334960.94,3.484289911e-08
88338378.91,3.518671495e-08
88341796.88,3.268942868e-08
88345214.84,3.363823176e-08
88348632.81,3.354569362e-08
88352050.78,3.33357668e-08
88355468.75,3.329157585e-08
88358886.72,3.283625726e-08
88362304.69,3.331402264e-08
88365722.66,3.242379188e-08
88369140.62,3.328204359e-08
88372558.59,3.324571533e-08
88375976.56,3.318837935e-08
88379394.53,3.323796118e-08
88382812.5,3.328355295e-08
88386230.47,3.274702717e-08
88389648.44,3.469004404e-08
88393066.41,3.664732336e-08
88396484.38,3.577917983e-08
88399902.34,3.493541681e-08
88403320.31,3.547210402e-08
88406738.28,3.501061125e-08
88410156.25,3.447402695e-08
88413574.22,3.538452135e-08
88416992.19,3.477899074e-08
88420410.16,3.470106588e-08
88423828.12,3.448040786e-08
88427246.09,3.586951993e-08
88430664.06,3.542000551e-08
88434082.03,3.402934021e-08
88437500,3.470842326e-08
88440917.97,3.586098334e-08
88444335.94,3.577900125e-08
88447753.91,3.754364177e-08
88451171.88,3.67843697e-08
88454589.84,3.413017613e-08
88458007.81,3.371658376e-08
88461425.78,3.376866032e-08
88464843.75,3.406708869e-08
88468261.72,3.401163629e-08
88471679.69,3.352650984e-08
88475097.66,3.249961561e-08
88478515.62,3.214442684e-08
88481933.59,3.209003096e-08
88485351.56,3.249450868e-08
88488769.53,3.272453391e-08
88492187.5,7.64634399e-08
88495605.47,1.24399379e-07
88499023.44,3.841352673e-08
88502441.41,3.422342239e-08
88505859.38,3.665494402e-08
88509277.34,3.327366405e-08
88512695.31,3.220583913e-08
88516113.28,3.169112357e-08
88519531.25,3.158301311e-08
88522949.22,3.204521348e-08
88526367.19,3.274914876e-08
88529785.16,3.240000916e-08
88533203.12,3.207977057e-08
88536621.09,3.252392236e-08
88540039.06,3.306836391e-08
88543457.03,3.244946778e-08
88546875,3.159038012e-08
88550292.97,3.223210122e-08
88553710.94,3.235361197e-08
88557128.91,3.301812751e-08
88560546.88,3.605093664e-08
88563964.84,3.493763578e-08
88567382.81,3.311182775e-08
88570800.78,3.359683361e-08
88574218.75,3.422460852e-08
88577636.72,3.314038426e-08
88581054.69,3.26338949e-08
88584472.66,3.291763272e-08
88587890.62,3.168742069e-08
88591308.59,3.191543332e-08
88594726.56,3.28016e-08
88598144.53,3.304914322e-08
88601562.5,3.217247589e-08
88604980.47,3.241462858e-08
88608398.44,3.263219754e-08
88611816.41,3.192123756e-08
88615234.38,3.402581275e-08
88618652.34,3.512118238e-08
88622070.31,3.346235039e-08
88625488.28,3.219417778e-08
88628906.25,3.312320734e-08
88632324.22,3.255225265e-08
88635742.19,3.278645054e-08
88639160.16,3.300403995e-08
88642578.12,3.229635167e-08
88645996.09,3.234868468e-08
88649414.06,3.314492508e-08
88652832.03,3.335819534e-08
88656250,3.232529902e-08
88659667.97,3.162407229e-08
88663085.94,3.288473111e-08
88666503.91,3.286403734e-08
88669921.88,3.404977247e-08
88673339.84,3.600475363e-08
88676757.81,3.336982476e-08
88680175.78,3.262257499e-08
88683593.75,3.438396262e-08
88687011.72,3.269505057e-08
88690429.69,3.212258228e-08
88693847.66,3.195959668e-08
88697265.62,3.206867736e-08
88700683.59,3.163182726e-08
88704101.56,3.228943352e-08
88707519.53,3.26523953e-08
88710937.5,3.249041626e-08
88714355.47,3.225665605e-08
88717773.44,3.349964509e-08
88721191.41,3.223031224e-08
88724609.38,3.253509955e-08
88728027.34,3.455116076e-08
88731445.31,3.384169272e-08
88734863.28,3.241536094e-08
88738281.25,3.248112936e-08
88741699.22,3.340235365e-08
88745117.19,3.21652085e-08
88748535.16,3.189507576e-08
88751953.12,3.25111376e-08
88755371.09,3.16464127e-08
88758789.06,3.185844163e-08
88762207.03,3.384144844e-08
88765625,3.350015049e-08
88769042.97,3.219575686e-08
88772460.94,3.226020053e-08
88775878.91,3.218603863e-08
88779296.88,3.189550934e-08
88782714.84,3.427884864e-08
88786132.81,3.510288238e-08
88789550.78,3.271546293e-08
88792968.75,3.162868457e-08
88796386.72,3.343495296e-08
88799804.69,3.268416894e-08
88803222.66,3.165616868e-08
88806640.62,3.238536286e-08
88810058.59,3.322870997e-08
88813476.56,3.215316141e-08
88816894.53,3.212865066e-08
88820312.5,3.253540285e-08
88823730.47,3.228648466e-08
88827148.44,3.282846947e-08
88830566.41,3.345149934e-08
88833984.38,3.176662233e-08
88837402.34,3.285307121e-08
88840820.31,3.546637299e-08
88844238.28,3.439511911e-08
88847656.25,3.212798408e-08
88851074.22,3.170570175e-08
88854492.19,3.181072414e-08
88857910.16,3.228392505e-08
88861328.12,3.33328359e-08
88864746.09,3.309278991e-08
88868164.06,3.222183178e-08
88871582.03,3.193695512e-08
88875000,3.362115121e-08
88878417.97,3.233029702e-08
88881835.94,3.171265983e-08
88885253.91,3.353827873e-08
88888671.88,3.285754757e-08
88892089.84,3.368779963e-08
88895507.81,3.428588672e-08
88898925.78,3.617207807e-08
88902343.75,3.446200303e-08
88905761.72,3.358346314e-08
88909179.69,3.411900337e-08
88912597.66,3.277378428e-08
88916015.62,3.163706737e-08
88919433.59,3.269518786e-08
88922851.56,3.279194798e-08
88926269.53,3.221578391e-08
88929687.5,3.286512702e-08
88933105.47,3.373128484e-08
88936523.44,3.309716798e-08
88939941.41,3.317709218e-08
88943359.38,3.315674021e-08
88946777.34,3.242605749e-08
88950195.31,3.480049267e-08
88953613.28,3.902029071e-08
88957031.25,3.554054288e-08
88960449.22,3.32774708e-08
88963867.19,3.301528781e-08
88967285.16,3.302867961e-08
88970703.12,3.382834736e-08
88974121.09,3.441563239e-08
88977539.06,3.486766805e-08
88980957.03,3.39904666e-08
88984375,3.412673287e-08
88987792.97,3.508160042e-08
88991210.94,3.340194676e-08
88994628.91,3.345834488e-08
88998046.88,3.488155341e-08
89001464.84,3.382907197e-08
